"Field","Detailed field","Year","Unemployment rate",""
"","","","Early-career bachelor's degree holders","Prime-age bachelor's degree holders"
"Business and communications","Business","2010","7.3%","5.1%"
"Business and communications","Communications and journalism","2010","8.0%","6.2%"
"Business and communications","Business","2011","7.2%","4.9%"
"Business and communications","Communications and journalism","2011","7.9%","6.0%"
"Business and communications","Business","2012","6.8%","4.4%"
"Business and communications","Communications and journalism","2012","8.0%","5.3%"
"Business and communications","Business","2013","6.2%","3.9%"
"Business and communications","Communications and journalism","2013","7.3%","4.6%"
"Business and communications","Business","2014","5.6%","3.4%"
"Business and communications","Communications and journalism","2014","6.8%","4.0%"
"Business and communications","Business","2015","5.1%","3.1%"
"Business and communications","Communications and journalism","2015","6.2%","3.6%"
"Business and communications","Business","2016","4.9%","2.8%"
"Business and communications","Communications and journalism","2016","6.2%","3.3%"
"Business and communications","Business","2017","4.7%","2.6%"
"Business and communications","Communications and journalism","2017","5.9%","3.2%"
"Business and communications","Business","2018","4.7%","2.5%"
"Business and communications","Communications and journalism","2018","5.6%","3.2%"
"Business and communications","Business","2019","5.7%","3.0%"
"Business and communications","Communications and journalism","2019","6.0%","4.1%"
"Business and communications","Business","2020","6.1%","3.4%"
"Business and communications","Communications and journalism","2020","6.6%","4.6%"
"Business and communications","Business","2021","5.8%","3.3%"
"Business and communications","Communications and journalism","2021","7.0%","4.4%"
"Business and communications","Business","2022","4.8%","2.8%"
"Business and communications","Communications and journalism","2022","6.3%","3.6%"
"Career focused","Industrial arts, consumer services, and recreation","2010","7.0%","4.7%"
"Career focused","Industrial arts, consumer services, and recreation","2011","7.0%","4.7%"
"Career focused","Industrial arts, consumer services, and recreation","2012","6.8%","4.3%"
"Career focused","Industrial arts, consumer services, and recreation","2013","6.6%","3.8%"
"Career focused","Industrial arts, consumer services, and recreation","2014","6.4%","3.4%"
"Career focused","Industrial arts, consumer services, and recreation","2015","5.9%","3.2%"
"Career focused","Industrial arts, consumer services, and recreation","2016","5.6%","3.0%"
"Career focused","Industrial arts, consumer services, and recreation","2017","5.2%","2.8%"
"Career focused","Industrial arts, consumer services, and recreation","2018","4.7%","2.5%"
"Career focused","Industrial arts, consumer services, and recreation","2019","5.7%","2.9%"
"Career focused","Industrial arts, consumer services, and recreation","2020","6.1%","3.3%"
"Career focused","Industrial arts, consumer services, and recreation","2021","6.2%","3.3%"
"Career focused","Industrial arts, consumer services, and recreation","2022","4.9%","2.6%"
"Education and public service","Education","2010","5.5%","3.9%"
"Education and public service","Social work and public service","2010","6.6%","5.3%"
"Education and public service","Education","2011","5.3%","3.8%"
"Education and public service","Social work and public service","2011","7.7%","5.4%"
"Education and public service","Education","2012","5.0%","3.7%"
"Education and public service","Social work and public service","2012","7.6%","4.7%"
"Education and public service","Education","2013","4.5%","3.2%"
"Education and public service","Social work and public service","2013","7.2%","4.6%"
"Education and public service","Education","2014","4.2%","2.9%"
"Education and public service","Social work and public service","2014","6.2%","4.4%"
"Education and public service","Education","2015","3.9%","2.5%"
"Education and public service","Social work and public service","2015","5.1%","4.1%"
"Education and public service","Education","2016","3.4%","2.2%"
"Education and public service","Social work and public service","2016","3.9%","3.1%"
"Education and public service","Education","2017","2.9%","1.9%"
"Education and public service","Social work and public service","2017","3.8%","2.5%"
"Education and public service","Education","2018","2.4%","1.7%"
"Education and public service","Social work and public service","2018","3.7%","2.3%"
"Education and public service","Education","2019","3.1%","2.2%"
"Education and public service","Social work and public service","2019","3.8%","2.9%"
"Education and public service","Education","2020","3.5%","2.4%"
