"Bachelor's degree major","Early-career bachelor's degree holders","Prime-age bachelor's degree holders","Prime-age graduate degree holders","Early-career bachelor's degree holders (low)","Early-career bachelor's degree holders (high)","Prime-age bachelor's degree holders (low)","Prime-age bachelor's degree holders (high)","Prime-age graduate degree holders (low)","Prime-age graduate degree holders (high)"
"All majors",52853,80549,103237,37591,73026,54377,121455,70076,157313
"Accounting",61614,90452,115759,44938,77689,61535,133600,79996,173044
"Actuarial science",85018,117727,140027,56061,101954,83900,172299,95995,233834
"Business economics",66394,102517,132788,48582,83770,68169,151853,87872,209701
"Business management and administration",53258,82532,106509,39328,70499,56387,123071,70673,157873
"Finance",67617,101588,133600,49794,89210,67689,156407,88611,210227
"General business",55736,86773,114949,39836,75307,57849,132788,73483,173785
"Hospitality management",47998,69317,89877,34952,61535,48613,101409,61535,133052
"Human resources and personnel management",52438,77173,97164,40570,66394,54655,110394,66800,140411
"International business",57099,83688,109309,43386,75029,56061,126299,71831,162281
"Management information systems and statistics",73757,107744,127442,52438,92423,73483,147860,88572,176358
"Marketing and marketing research",54655,86150,106835,41184,70737,58427,130341,71386,160776
"Miscellaneous business and medical administration",54655,81448,106414,36741,72311,54956,124375,69514,160776
"Operations logistics and e-commerce",70444,92178,123553,52920,85207,66508,127120,85747,170037
"Advertising and public relations",52136,78765,89697,39836,68641,55134,116917,63721,133017
"Communications and mass media",49228,75689,90452,36921,64522,53115,115697,63997,133017
"Journalism",48582,77173,95527,36741,62884,53540,116326,66134,140888
"Criminal justice and fire protection",46676,72879,89856,34563,61776,51259,104875,62652,129957
"Family and consumer sciences",41871,59074,77731,30768,53913,43644,85747,58786,106509
"Industrial arts, consumer services, and recreation: Other",60245,86894,95772,39328,79996,58581,125305,60855,145746
"Military technologies",,93979,118174,,,56061,131094,91766,159620
"Physical fitness, parks, recreation, and leisure",42874,65178,86460,30133,57928,47029,92685,63149,119296
"Transportation sciences and technologies",54188,99591,123553,36436,75073,65547,146067,84984,166146
"Art and music education",48582,58298,78096,38110,56798,46343,74452,61535,100125
"Early childhood education",43857,51448,69480,32155,53115,39836,65547,55867,86773
"Elementary education",46343,55771,75029,36155,53592,45017,69514,60741,95527
"General education",47501,58893,77620,36679,58288,45883,77083,60727,102423
"Language and drama education",48048,58786,78244,37074,56285,46865,73842,61942,100795
"Mathematics teacher education",49305,61510,82689,42565,58786,49397,79623,65586,104610
"Miscellaneous education",49228,67689,82014,38510,59858,50794,96097,63068,108808
"Physical and health education teaching",46153,65158,85211,33832,57849,48779,89233,65547,112570
"Science and computer teacher education",46343,61615,82258,38510,55390,47616,82589,66038,109110
"Secondary teacher education",48684,61776,82369,39471,55197,49131,82154,65080,105482
"Social science or history teacher education",48330,60727,82457,36439,57879,47332,79996,64371,110394
"Special needs education",49228,57849,78303,41150,57879,47161,72873,62187,99591
"Teacher education: multiple levels",46676,55060,72311,38380,52908,45184,68641,59513,91098
"Human services and community organization",41184,55611,71674,32860,51438,42472,77017,54094,98106
"Public administration",49421,80388,94388,39218,66394,53913,120607,66412,138268
"Public policy",56399,87713,121546,43930,78096,57928,132788,83770,187957
"Social work",42867,55652,72311,33832,52167,43075,73842,55771,93351
"Theology and religious vocations",40171,57928,69670,28820,51438,41501,83437,49412,98106
"Communication disorders sciences and services",39048,60741,86461,27868,52741,44090,85114,67617,110892
"Community and public health",46767,65066,86893,34084,63634,46556,92303,63195,127528
"General medical and health services",43936,65547,96466,31869,60245,46520,93979,70673,133235
"Health and medical administrative services",47998,67526,95195,36741,64183,48233,97738,64183,137007
"Health and medical preparatory programs",43936,70076,151853,31326,57928,47501,110268,85747,283849
