"Bachelor's degree ","Graduate degree prevalence"
"Accounting",0.3049
"Actuarial science",0.2252
"Business economics",0.3008
"Business management and administration",0.2348
"Finance",0.3009
"General business",0.2456
"Hospitality management",0.1223
"Human resources and personnel management",0.3083
"International business",0.3156
"Management information systems and statistics",0.236
"Marketing and marketing research",0.174
"Miscellaneous business and medical administration",0.2257
"Operations logistics and e-commerce",0.2265
"Advertising and public relations",0.1895
"Communications and mass media",0.2209
"Journalism",0.2533
"Criminal justice and fire protection",0.2158
"Family and consumer sciences",0.3324
"Industrial arts, consumer services, and recreation: Other",0.1015
"Military technologies",0.4472
"Physical fitness, parks, recreation, and leisure",0.339
"Transportation sciences and technologies",0.1971
"Art and music education",0.4632
"Early childhood education",0.4131
"Elementary education",0.4882
"General education",0.4954
"Language and drama education",0.562
"Mathematics teacher education",0.5756
"Miscellaneous education",0.613
"Physical and health education teaching",0.4117
"Science and computer teacher education",0.5508
"Secondary teacher education",0.5228
"Social science or history teacher education",0.4859
"Special needs education",0.6142
"Teacher education: multiple levels",0.4897
"Human services and community organization",0.3042
"Public administration",0.4824
"Public policy",0.5653
"Social work",0.5272
"Theology and religious vocations",0.4194
"Communication disorders sciences and services",0.7908
"Community and public health",0.4284
"General medical and health services",0.4399
"Health and medical administrative services",0.3064
"Health and medical preparatory programs",0.7655
"Miscellaneous health medical professions",0.332
"Nursing",0.2611
"Nutrition sciences",0.4536
"Pharmacy and pharmaceutical sciences and administration",0.6444
"Treatment therapy professions",0.4914
"Commercial art and graphic design",0.1086
"Drama and theater arts",0.2802
"Film, video, and photographic arts",0.1624
"Fine arts",0.2208
"Music",0.43
"Studio arts",0.2832
"Visual and performing arts",0.2798
"Area ethnic and civilization studies",0.4942
"Art history and criticism",0.4365
"Composition and speech",0.3201
"English language and literature",0.464
"French, German, Latin and other common foreign language studies",0.5153
"History",0.4811
"Humanities",0.3938
"Intercultural and international studies",0.4513
"Liberal arts",0.2756
"Linguistics and comparative language and literature",0.4899
"Other foreign languages",0.4685
"Philosophy and religious studies",0.5532
"Multi/interdisciplinary studies",0.3069
"Multidisciplinary or general science",0.3341
"Agricultural economics",0.3013
"Agriculture production and management",0.1488
"Animal sciences",0.3877
"Food science",0.4179
"Forestry",0.2491
"General agriculture",0.2612
"Miscellaneous agriculture",0.3418
"Natural resources management",0.2865
"Plant science and agronomy",0.2555
"Soil science",0.3862
"Aerospace engineering",0.5062
"Architectural engineering",0.3256
"Architecture",0.389
"Biomedical engineering",0.5679
"Chemical engineering",0.4806
"Civil engineering",0.3711
"Electrical engineering",0.4653
"Engineering and industrial management",0.3409
"Engineering mechanics, physics, and science",0.5612
"Engineering technologies",0.2377
"Environmental engineering",0.4887
"General engineering",0.3652
"Geological and geophysical engineering",0.3945
"Industrial and manufacturing engineering",0.4061
"Industrial production technologies",0.1847
"Materials engineering and materials science",0.5211
"Mechanical engineering",0.3997
"Mechanical engineering related technologies",0.1866
"Metallurgical engineering",0.5859
"Mining and mineral engineering",0.4066
"Miscellaneous engineering",0.3383
"Miscellaneous engineering technologies",0.2555
"Naval architecture and marine engineering",0.3707
"Nuclear engineering",0.5257
"Petroleum engineering",0.3095
"Biochemical sciences",0.6954
"Biology",0.611
"Botany",0.6037
"Ecology",0.3885
"Environmental science",0.3293
"Genetics",0.7147
"Microbiology",0.6195
"Miscellaneous biology",0.5791
"Molecular biology",0.688
"Neuroscience",0.6807
"Physiology",0.6329
"Zoology",0.6302
"Applied mathematics",0.5156
"Computer and information systems",0.2541
"Computer engineering",0.3967
"Computer science",0.3327
"Computers, statistics, and mathematics: Other",0.1888
"Information sciences",0.2782
"Mathematics",0.5124
"Statistics and decision science",0.5288
"Astronomy and astrophysics",0.6523
"Atmospheric sciences and meteorology",0.4362
"Chemistry",0.6383
"Geology and earth science",0.4503
"Geosciences",0.5713
"Materials science",0.6793
"Nuclear, industrial radiology, and biological technologies",0.1932
"Oceanography",0.4809
"Other physical sciences",0.4209
"Physics",0.6888
"Cognitive science and biopsychology",0.5161
"Counseling psychology",0.7591
"Industrial and organizational psychology",0.4664
"Psychology",0.4825
"Social psychology",0.3873
"Anthropology and archaeology",0.471
"Criminology",0.2529
"Economics",0.4157
"General social sciences",0.3417
"Geography",0.3219
"Interdisciplinary social sciences",0.4063
"International relations",0.5385
"Miscellaneous social sciences",0.4966
"Political science and government",0.5109
"Pre-law and legal studies",0.3536
"Sociology",0.3581
