"Bachelor's degree ","Dollar boost in earnings"
"Accounting",25307
"Actuarial science",22299
"Business economics",30270
"Business management and administration",23977
"Finance",32012
"General business",28176
"Hospitality management",20559
"Human resources and personnel management",19991
"International business",25621
"Management information systems and statistics",19699
"Marketing and marketing research",20685
"Miscellaneous business and medical administration",24965
"Operations logistics and e-commerce",31375
"Advertising and public relations",10932
"Communications and mass media",14762
"Journalism",18355
"Criminal justice and fire protection",16977
"Family and consumer sciences",18657
"Industrial arts, consumer services, and recreation: Other",8878
"Military technologies",24195
"Physical fitness, parks, recreation, and leisure",21282
"Transportation sciences and technologies",23962
"Art and music education",19797
"Early childhood education",18031
"Elementary education",19258
"General education",18727
"Language and drama education",19458
"Mathematics teacher education",21179
"Miscellaneous education",14325
"Physical and health education teaching",20053
"Science and computer teacher education",20643
"Secondary teacher education",20592
"Social science or history teacher education",21730
"Special needs education",20454
"Teacher education: multiple levels",17251
"Human services and community organization",16063
"Public administration",14000
"Public policy",33832
"Social work",16659
"Theology and religious vocations",11741
"Communication disorders sciences and services",25720
"Community and public health",21827
"General medical and health services",30919
"Health and medical administrative services",27669
"Health and medical preparatory programs",81777
"Miscellaneous health medical professions",19635
"Nursing",31192
"Nutrition sciences",21375
"Pharmacy and pharmaceutical sciences and administration",2783
"Treatment therapy professions",14671
"Commercial art and graphic design",17564
"Drama and theater arts",17410
"Film, video, and photographic arts",12221
"Fine arts",13416
"Music",15362
"Studio arts",15554
"Visual and performing arts",15647
"Area ethnic and civilization studies",28402
"Art history and criticism",17672
"Composition and speech",16293
"English language and literature",20506
"French, German, Latin and other common foreign language studies",21688
"History",28008
"Humanities",24683
"Intercultural and international studies",22692
"Liberal arts",22252
"Linguistics and comparative language and literature",23482
"Other foreign languages",24334
"Philosophy and religious studies",23681
"Multi/interdisciplinary studies",11617
"Multidisciplinary or general science",33179
"Agricultural economics",18502
"Agriculture production and management",17617
"Animal sciences",37145
"Food science",15919
"Forestry",20632
"General agriculture",19520
"Miscellaneous agriculture",14635
"Natural resources management",17131
"Plant science and agronomy",19096
"Soil science",11397
"Aerospace engineering",31109
"Architectural engineering",5880
"Architecture",11089
"Biomedical engineering",25699
"Chemical engineering",25139
"Civil engineering",20158
"Electrical engineering",30674
"Engineering and industrial management",32151
"Engineering mechanics, physics, and science",39328
"Engineering technologies",17891
"Environmental engineering",21041
"General engineering",28142
"Geological and geophysical engineering",32453
"Industrial and manufacturing engineering",30917
"Industrial production technologies",20530
"Materials engineering and materials science",28240
"Mechanical engineering",29264
"Mechanical engineering related technologies",23826
"Metallurgical engineering",26089
"Mining and mineral engineering",18085
"Miscellaneous engineering",28197
"Miscellaneous engineering technologies",23434
"Naval architecture and marine engineering",30705
"Nuclear engineering",21854
"Petroleum engineering",20202
"Biochemical sciences",51538
"Biology",47485
"Botany",17354
"Ecology",21907
"Environmental science",19938
"Genetics",32417
"Microbiology",35644
"Miscellaneous biology",24974
"Molecular biology",44691
"Neuroscience",26258
"Physiology",36221
"Zoology",59710
"Applied mathematics",33857
"Computer and information systems",23383
"Computer engineering",26230
"Computer science",24454
"Computers, statistics, and mathematics: Other",28169
"Information sciences",23674
"Mathematics",22745
"Statistics and decision science",27201
"Astronomy and astrophysics",37039
"Atmospheric sciences and meteorology",19641
"Chemistry",48881
"Geology and earth science",25736
"Geosciences",42240
"Materials science",30868
"Nuclear, industrial radiology, and biological technologies",33054
"Oceanography",30073
"Other physical sciences",31490
"Physics",35753
"Cognitive science and biopsychology",22402
"Counseling psychology",13109
"Industrial and organizational psychology",28946
"Psychology",21485
"Social psychology",17727
"Anthropology and archaeology",22325
"Criminology",19547
"Economics",42830
"General social sciences",21482
"Geography",19511
"Interdisciplinary social sciences",23244
"International relations",35081
"Miscellaneous social sciences",22045
"Political science and government",35397
"Pre-law and legal studies",33268
"Sociology",19092
