"Category","Business","Communications and journalism","Business","Communications and journalism"
"2009&ndash;2011",0.0728,0.08,0.0514,0.0624
"2010&ndash;2012",0.0719,0.0786,0.0489,0.0596
"2011&ndash;2013",0.0677,0.0802,0.0436,0.0529
"2012&ndash;2014",0.0624,0.0732,0.039,0.0462
"2013&ndash;2015",0.056,0.0683,0.0344,0.0404
"2014&ndash;2016",0.0508,0.0621,0.0305,0.0359
"2015&ndash;2017",0.0488,0.0617,0.028,0.0327
"2016&ndash;2018",0.0472,0.0593,0.0262,0.0317
"2017&ndash;2019",0.0469,0.0561,0.0249,0.0319
"2018&ndash;2020",0.0568,0.06,0.0295,0.0409
"2019&ndash;2021",0.0612,0.0662,0.0339,0.0458
"2020&ndash;2022",0.0581,0.0701,0.0332,0.0442
"2021&ndash;2023",0.0481,0.0629,0.0281,0.0364
