"Category","Industrial arts, consumer services, and recreation","Industrial arts, consumer services, and recreation"
"2009&ndash;2011",0.0699,0.0466
"2010&ndash;2012",0.0701,0.0468
"2011&ndash;2013",0.0676,0.0431
"2012&ndash;2014",0.0656,0.0377
"2013&ndash;2015",0.0639,0.0344
"2014&ndash;2016",0.0594,0.0319
"2015&ndash;2017",0.0563,0.0302
"2016&ndash;2018",0.0519,0.0281
"2017&ndash;2019",0.0468,0.0248
"2018&ndash;2020",0.0571,0.0293
"2019&ndash;2021",0.0613,0.0326
"2020&ndash;2022",0.0618,0.033
"2021&ndash;2023",0.049,0.026
