"Category","Education","Social work and public service","Education","Social work and public service"
"2009&ndash;2011",0.0545,0.0657,0.0389,0.0532
"2010&ndash;2012",0.0532,0.0771,0.0382,0.0536
"2011&ndash;2013",0.0503,0.0756,0.0365,0.0473
"2012&ndash;2014",0.0452,0.0718,0.0321,0.0463
"2013&ndash;2015",0.0421,0.0622,0.0288,0.0439
"2014&ndash;2016",0.0385,0.0506,0.025,0.0407
"2015&ndash;2017",0.0341,0.039,0.0218,0.0311
"2016&ndash;2018",0.0286,0.0376,0.0191,0.0254
"2017&ndash;2019",0.0239,0.0368,0.0169,0.0226
"2018&ndash;2020",0.031,0.0378,0.0216,0.0286
"2019&ndash;2021",0.0346,0.0358,0.0243,0.0317
"2020&ndash;2022",0.0355,0.0439,0.024,0.0305
"2021&ndash;2023",0.0279,0.0464,0.0197,0.0243
