"Category","Arts","Humanities and liberal arts","Arts","Humanities and liberal arts"
"2009&ndash;2011",0.1057,0.0929,0.0706,0.0652
"2010&ndash;2012",0.0967,0.0877,0.0681,0.064
"2011&ndash;2013",0.0928,0.0815,0.0622,0.0579
"2012&ndash;2014",0.0883,0.0794,0.0557,0.0512
"2013&ndash;2015",0.0811,0.0748,0.0472,0.0458
"2014&ndash;2016",0.0692,0.0744,0.0414,0.0419
"2015&ndash;2017",0.062,0.0672,0.0405,0.0386
"2016&ndash;2018",0.0578,0.0627,0.0383,0.0357
"2017&ndash;2019",0.0598,0.0559,0.0373,0.0331
"2018&ndash;2020",0.0849,0.076,0.0517,0.0412
"2019&ndash;2021",0.102,0.0815,0.0631,0.0447
"2020&ndash;2022",0.1069,0.087,0.0621,0.0457
"2021&ndash;2023",0.089,0.0667,0.0473,0.037
