"Category","Psychology","Social sciences","Psychology","Social sciences"
"2009&ndash;2011",0.085,0.0947,0.0639,0.0584
"2010&ndash;2012",0.089,0.1016,0.0629,0.059
"2011&ndash;2013",0.0846,0.0933,0.0606,0.0538
"2012&ndash;2014",0.0692,0.084,0.0538,0.0493
"2013&ndash;2015",0.0634,0.0751,0.0481,0.0428
"2014&ndash;2016",0.0601,0.0678,0.0419,0.0373
"2015&ndash;2017",0.0591,0.0653,0.0382,0.0332
"2016&ndash;2018",0.0552,0.0671,0.0359,0.0315
"2017&ndash;2019",0.0486,0.0654,0.0325,0.0305
"2018&ndash;2020",0.0606,0.0698,0.0409,0.0371
"2019&ndash;2021",0.0648,0.0724,0.0466,0.0415
"2020&ndash;2022",0.0747,0.0716,0.0476,0.0411
"2021&ndash;2023",0.0592,0.0667,0.038,0.034
